사업명,집행차수,과제/사업단명,비목,보조비목,보조세목,최초배정액,예산증감액,이월금,비고
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,12806400,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,59270,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,1800000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,19950000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,163716,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,교육 연구 환경개선비,운영비(일반용역비),일반용역비,50000000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,9804650,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,7387711,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,그 밖의 사업운영 경비,여비(국내여비),국내여비,1577014,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,간접비,간접비,간접비,13200000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,농업실습교육원,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,4800000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,농업실습교육원,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,5000000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,농업실습교육원,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,200000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,대외협력처,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,771900,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,대외협력처,교육 연구 환경개선비,건설비(시설비),시설비,6517000,0,0,
